,CustomerKey,Name,OrderCount,CustomerOrderingType
6884,961200,Anthony Sykes,20,Loyal Customer
14195,1957841,Jennifer Fleischer,20,Loyal Customer
13179,1822685,Lewis Crigler,20,Loyal Customer
5681,787315,Neera Folliero,20,Loyal Customer
9967,1402836,Harry Ponder,20,Loyal Customer
15045,2071369,Bazyli Adamczyk,19,Loyal Customer
11415,1590257,Thomas Lucas,19,Loyal Customer
5349,738388,Gino Lombardi,19,Loyal Customer
6638,921825,Kieran O'Connor,19,Loyal Customer
8833,1253166,John Watson,19,Loyal Customer
12398,1718240,David Senn,19,Loyal Customer
14548,2003358,David Hoffmann,19,Loyal Customer
12731,1761592,James Jackson,19,Loyal Customer
7146,1002933,Ella Roberts,19,Loyal Customer
3744,504968,Jennifer Aachen,19,Loyal Customer
13900,1920128,Kerman Desaulniers,19,Loyal Customer
10218,1432419,Elmer Henderson,19,Loyal Customer
13334,1845069,Brooke Cassette,19,Loyal Customer
11968,1664824,Barbara Hawkins,19,Loyal Customer
4045,544035,Andreas Eichel,19,Loyal Customer
1795,247129,Edward Sims,19,Loyal Customer
11994,1668458,Robert Jonas,19,Loyal Customer
11398,1588361,Gavin Kent,19,Loyal Customer
9083,1284953,Jim Cosby,19,Loyal Customer
8801,1248961,Leonard Moynihan,19,Loyal Customer
10077,1414525,Nell Doyle,19,Loyal Customer
9289,1312078,Joseph Garner,19,Loyal Customer
13341,1846024,Rod Scott,19,Loyal Customer
14117,1948390,Laura Sousa,19,Loyal Customer
1723,239571,Marie Tate,19,Loyal Customer
13615,1883496,Florence Badger,19,Loyal Customer
8964,1268661,Michael Whitehurst,19,Loyal Customer
7332,1031068,Abigail Parker,18,Loyal Customer
5247,721118,Genoveffa Castiglione,18,Loyal Customer
5620,778636,Ivo Cremonesi,18,Loyal Customer
8621,1227087,Cathie Allen,18,Loyal Customer
13065,1807649,Thomas Williams,18,Loyal Customer
9980,1404342,Carrie Jones,18,Loyal Customer
12451,1724782,Samantha Maldonado,18,Loyal Customer
8817,1251181,Shirley Gosha,18,Loyal Customer
14798,2037884,Mario imunovic,18,Loyal Customer
11404,1589348,Andrew Jones,18,Loyal Customer
14424,1986804,Stella Vaca,18,Loyal Customer
5200,714472,Bibiana Ferri,18,Loyal Customer
8800,1248847,Charles Collins,18,Loyal Customer
6798,947510,Yasmin Howell,18,Loyal Customer
13871,1916988,Elias Gardemeister,18,Loyal Customer
10571,1480971,Jennifer Sutherland,18,Loyal Customer
6940,969679,Jamie Gilbert,18,Loyal Customer
9859,1388042,Kenneth Tucker,18,Loyal Customer
4863,660924,Antoinette Corbin,18,Loyal Customer
7549,1065004,Freya Lynch,18,Loyal Customer
12551,1736623,Ellen Jamison,18,Loyal Customer
9515,1343700,Todd Fugate,18,Loyal Customer
7563,1067702,Sophia Hart,18,Loyal Customer
8465,1203564,Christopher Grey,18,Loyal Customer
10482,1468248,Mary Busby,18,Loyal Customer
4195,565369,Markus Fuhrmann,18,Loyal Customer
14488,1996781,Beatrice Alves,18,Loyal Customer
12133,1686814,George Shirley,18,Loyal Customer
14687,2022412,Gordan Vukovic,18,Loyal Customer
11173,1557811,Mary Bueno,18,Loyal Customer
11249,1568116,Veronica Jones,18,Loyal Customer
7618,1076923,Andrew Akhtar,18,Loyal Customer
9566,1350819,Anna London,18,Loyal Customer
8106,1146324,Louie Thomas,18,Loyal Customer
15253,2098223,Hansine Davidsen,18,Loyal Customer
14192,1957363,Madlyn Johnston,18,Loyal Customer
6634,921384,Courtney Hurst,18,Loyal Customer
11307,1576331,Richard Deming,18,Loyal Customer
3391,454774,Paul Frueh,18,Loyal Customer
7719,1093788,Katherine Parker,18,Loyal Customer
5574,772646,Artemisia Siciliani,18,Loyal Customer
11490,1599683,Donald Williams,18,Loyal Customer
11151,1553574,Francisco Dysart,18,Loyal Customer
8334,1183661,Lilly Dawson,18,Loyal Customer
14442,1988805,Brooke Parnell,18,Loyal Customer
12272,1702950,Christopher Mathew,18,Loyal Customer
3615,486542,Christian Drechsler,18,Loyal Customer
14291,1969704,Zrina Topic,18,Loyal Customer
10097,1417165,Ricardo Lindsay,18,Loyal Customer
10892,1524904,Lorena Ybarra,17,Loyal Customer
14301,1970893,Vito Petrovic,17,Loyal Customer
11682,1625297,John McCray,17,Loyal Customer
12411,1719794,Robert Conley,17,Loyal Customer
9597,1354140,John Woody,17,Loyal Customer
3009,403915,Stefan Loewe,17,Loyal Customer
15236,2096104,Madicken Lundin,17,Loyal Customer
10400,1458301,William Templin,17,Loyal Customer
12003,1669021,Shaun Steele,17,Loyal Customer
6990,977967,Gracie Dean,17,Loyal Customer
13730,1898949,Robert Padula,17,Loyal Customer
12564,1738064,Ralph Spencer,17,Loyal Customer
3628,489501,Jana Muench,17,Loyal Customer
8435,1199660,Oscar Webb,17,Loyal Customer
10942,1531024,Andrea Neighbors,17,Loyal Customer
6756,939948,Sophie Winter,17,Loyal Customer
4377,588221,David Kuhn,17,Loyal Customer
7888,1116156,Anna Moran,17,Loyal Customer
15017,2067182,Amund Løberg,17,Loyal Customer
5512,763033,Luisella Napolitano,17,Loyal Customer
9897,1392371,Mae Lemons,17,Loyal Customer
14142,1951594,Warren Christensen,17,Loyal Customer
14492,1996959,Antonija Horvat,17,Loyal Customer
14152,1952591,Carolina Goncalves,17,Loyal Customer
10791,1510251,Linda Daniel,17,Loyal Customer
12351,1713848,Eva Starnes,17,Loyal Customer
14622,2013443,Sandy Göransson,17,Loyal Customer
11254,1569496,Larry Lawrence,17,Loyal Customer
13323,1842942,Grace Oneal,17,Loyal Customer
5671,786030,Fabiana  Conti,17,Loyal Customer
14826,2040948,Petronio Alicea,17,Loyal Customer
13498,1866388,Sandra Robinson,17,Loyal Customer
14463,1992074,Niels Danielsen,17,Loyal Customer
7545,1064597,Lewis Gibson,17,Loyal Customer
14184,1956497,Olli-Pekka Rehn,17,Loyal Customer
6690,930820,Morgan Brennan,17,Loyal Customer
11954,1663056,Joseph Henry,17,Loyal Customer
3936,529903,Angelika Shuster,17,Loyal Customer
2866,385971,Staci Harris,17,Loyal Customer
5265,724534,Rosarmosario Greece,17,Loyal Customer
6534,907297,Morgan Welch,17,Loyal Customer
15217,2093071,Scott Stewart,17,Loyal Customer
12013,1670107,Sarah Guillory,17,Loyal Customer
9759,1375827,Anne Santos,17,Loyal Customer
10456,1465462,Tony Larson,17,Loyal Customer
12500,1730966,Cynthia Brown,17,Loyal Customer
10023,1409991,Brian Feldman,17,Loyal Customer
9651,1361042,Jerome Scott,17,Loyal Customer
9228,1304549,Gene Ogle,17,Loyal Customer
7659,1084205,Tyler McDonald,17,Loyal Customer
7943,1124706,Spencer Fraser,17,Loyal Customer
13113,1813480,Steven Prado,16,Loyal Customer
15021,2067958,Katarzyna Dudek,16,Loyal Customer
12936,1788641,Frederick Haney,16,Loyal Customer
12532,1734698,Peter Omalley,16,Loyal Customer
5584,774483,Artemisia Russo,16,Loyal Customer
10333,1450086,Mabel Carrasquillo,16,Loyal Customer
15020,2067371,Tereza Ivanovic,16,Loyal Customer
14920,2054922,Branko Antunovic,16,Loyal Customer
10354,1451919,Chelsea Stockton,16,Loyal Customer
8243,1167961,Millie Parry,16,Loyal Customer
3191,429663,Frank Waechter,16,Loyal Customer
10345,1451323,Christopher O'Connor,16,Loyal Customer
10356,1452039,Juan Armstrong,16,Loyal Customer
4402,592147,Martin Hartmann,16,Loyal Customer
14191,1956984,Nicolash Barbosa,16,Loyal Customer
7632,1079159,Katie Nixon,16,Loyal Customer
12586,1740873,John Molina,16,Loyal Customer
8760,1243331,Mark Wiltse,16,Loyal Customer
8720,1239780,Janet Weiss,16,Loyal Customer
8987,1271947,Angel Gallop,16,Loyal Customer
8896,1260588,Berniece Turner,16,Loyal Customer
13397,1855347,Anna Johnson,16,Loyal Customer
4979,678055,Pinabel Laderoute,16,Loyal Customer
6528,906832,Josh Mistry,16,Loyal Customer
13352,1848327,Veronica Holt,16,Loyal Customer
10026,1410305,Catherine White,16,Loyal Customer
12476,1728581,Keshia King,16,Loyal Customer
13139,1816342,Brandon Roy,16,Loyal Customer
14985,2063107,Lachlan Gormly,16,Loyal Customer
11515,1602459,Daniel Simmons,16,Loyal Customer
10182,1428180,Johnny Huckabee,16,Loyal Customer
8956,1267627,Carol Wilson,16,Loyal Customer
10642,1489054,Adam Cook,16,Loyal Customer
2577,350496,George Watson,16,Loyal Customer
6685,930304,Mollie Smart,16,Loyal Customer
11966,1664688,Harold McCormick,16,Loyal Customer
6832,951740,Bethany Lawson,16,Loyal Customer
10739,1503301,Sophie Aguilar,16,Loyal Customer
12618,1745312,Barbara Thomas,16,Loyal Customer
4864,660940,Harcourt Allaire,16,Loyal Customer
7783,1100341,Kieran Cameron,16,Loyal Customer
445,65269,Scarlett Roach,16,Loyal Customer
8734,1240904,Marion Stromain,16,Loyal Customer
2764,373746,Megan Roundy,16,Loyal Customer
4861,660527,Vachel Coupart,16,Loyal Customer
11437,1592400,Bradley McClain,16,Loyal Customer
13431,1858665,Myrtice Cottrell,16,Loyal Customer
3566,478977,Kathrin Maurer,16,Loyal Customer
13330,1843882,Gloria Stewart,16,Loyal Customer
4250,571622,Sven Schulze,16,Loyal Customer
14090,1944572,Blake Bodenwieser,16,Loyal Customer
2001,271825,Denice Major,16,Loyal Customer
7964,1127638,Harrison Carr,16,Loyal Customer
5276,725383,Calogero Dellucci,16,Loyal Customer
13597,1880406,James Claudio,16,Loyal Customer
14615,2012168,Julie Potvin,16,Loyal Customer
12366,1715326,Jeffrey Rothermel,16,Loyal Customer
13056,1806437,Alberta Loeb,16,Loyal Customer
5201,715102,Claudia Lo Duca,16,Loyal Customer
5225,717682,Alfonsina Piazza,16,Loyal Customer
7839,1109178,Eva Hewitt,16,Loyal Customer
13492,1865718,Paul Alexander,16,Loyal Customer
11045,1541000,Adam Davis,16,Loyal Customer
14358,1978029,Yvonne Christiansen,16,Loyal Customer
4218,567932,Marcel Dresner,16,Loyal Customer
5345,737978,Silvio Pinto,16,Loyal Customer
14722,2026801,Anna Svobodová,16,Loyal Customer
8464,1203511,Robert Westbrooks,16,Loyal Customer
8463,1203510,Allison Flores,16,Loyal Customer
11992,1668237,Patricia Clark,16,Loyal Customer
3510,472362,Patrick Ackerman,16,Loyal Customer
5469,758280,Adolfo Genovesi,16,Loyal Customer
2947,396944,Zane Belgrave,16,Loyal Customer
14385,1981868,James Wallach,16,Loyal Customer
13793,1908923,Karolin Schneider,16,Loyal Customer
13094,1811432,Bernard Smith,16,Loyal Customer
15201,2091204,Knud Davidsen,16,Loyal Customer
2853,384911,Lizzie Bivona,16,Loyal Customer
6205,858760,Geoffrey Elfrink,16,Loyal Customer
12019,1670940,William Mansfield,15,Loyal Customer
5277,725672,Nunzio Costa,15,Loyal Customer
1129,161095,Abby Plowman,15,Loyal Customer
9450,1334562,Robert Cruz,15,Loyal Customer
7702,1090726,Dominic Sharp,15,Loyal Customer
10653,1490226,Kraig Colbert,15,Loyal Customer
11754,1634778,Sadie Williamson,15,Loyal Customer
9736,1373140,Gary Lewis,15,Loyal Customer
2104,285999,Geraldine Johnson,15,Loyal Customer
6689,930792,Courtney Chapman,15,Loyal Customer
9727,1371642,Shirley Bryan,15,Loyal Customer
14700,2024029,Blake White,15,Loyal Customer
8354,1187490,Jacob Wallace,15,Loyal Customer
10192,1429300,Kenneth Correa,15,Loyal Customer
15228,2095256,Alannah McAuley,15,Loyal Customer
5857,812462,Minouche Ankone,15,Loyal Customer
9754,1374605,Katherine Ferreira,15,Loyal Customer
12471,1727849,Denise Smith,15,Loyal Customer
15160,2086673,Jozo Vukovic,15,Loyal Customer
8791,1247394,Jessica Bell,15,Loyal Customer
13014,1800131,Todd Benavides,15,Loyal Customer
4086,549819,Johanna Hoover,15,Loyal Customer
8780,1246129,Omar Gonzales,15,Loyal Customer
12077,1678823,Carolyn Lewis,15,Loyal Customer
10590,1483256,Al James,15,Loyal Customer
4543,614234,Aurélie LaCaille,15,Loyal Customer
13899,1920064,Vanina Almanza,15,Loyal Customer
6898,962529,Rebecca Bryant,15,Loyal Customer
3118,418893,Felix Lang,15,Loyal Customer
12619,1745379,Raymond Gilbert,15,Loyal Customer
8901,1261460,Elisha Matos,15,Loyal Customer
11340,1581888,Latoya Riggs,15,Loyal Customer
5953,825894,Timotheus Liefting,15,Loyal Customer
8341,1185221,Francesca Austin,15,Loyal Customer
11473,1596264,Francis Lynch,15,Loyal Customer
14099,1945363,Daniel Marek,15,Loyal Customer
8888,1259448,Howard Rothe,15,Loyal Customer
6724,935232,Aaron Hughes,15,Loyal Customer
716,105647,Anna Komine,15,Loyal Customer
11928,1659040,Donald Shelton,15,Loyal Customer
12125,1686021,Herman Stafford,15,Loyal Customer
2584,350979,Barbara King,15,Loyal Customer
15119,2081470,Renata Bacic,15,Loyal Customer
7556,1066452,Andrew Webb,15,Loyal Customer
482,70912,Evie Wieck,15,Loyal Customer
1667,231984,Kathryn Williams,15,Loyal Customer
11861,1650783,Anita Hunt,15,Loyal Customer
7045,986569,Yasmin Potter,15,Loyal Customer
13152,1818370,Amber Martinez,15,Loyal Customer
7003,979530,Kieran Perry,15,Loyal Customer
7753,1097022,Harvey Walsh,15,Loyal Customer
10163,1425307,Clayton Bradley,15,Loyal Customer
13651,1887180,Jeanne Wilson,15,Loyal Customer
7068,990554,Joseph Burns,15,Loyal Customer
10170,1426096,Jeannette Boyd,15,Loyal Customer
10598,1484183,Thomas Charpentier,15,Loyal Customer
10462,1465839,Kelly McGill,15,Loyal Customer
7334,1031361,Jordan Walton,15,Loyal Customer
11000,1537343,Christopher Kent,15,Loyal Customer
6146,850529,Fahri Helmink,15,Loyal Customer
7852,1110691,Anna Knight,15,Loyal Customer
2561,348521,Robert Kramer,15,Loyal Customer
13115,1813538,George Collier,15,Loyal Customer
14763,2032912,Rebecca Porter,15,Loyal Customer
12108,1682386,Ivy Krick,15,Loyal Customer
5445,754542,Giona Lo Duca,15,Loyal Customer
12201,1693813,Jane Hesson,15,Loyal Customer
9986,1404845,Alicia Stewart,15,Loyal Customer
10788,1509978,Elizabeth Smith,15,Loyal Customer
8394,1193732,Joshua Gould,15,Loyal Customer
10905,1526388,Tina Spencer,15,Loyal Customer
11571,1609589,Richard Smith,15,Loyal Customer
8647,1230348,Warren Newlin,15,Loyal Customer
13253,1833460,John Bishop,15,Loyal Customer
3709,501029,Heike Schiffer,15,Loyal Customer
9885,1390823,Marco McKee,15,Loyal Customer
11683,1625704,James Powell,15,Loyal Customer
7792,1101386,Taylor Chamberlain,15,Loyal Customer
9879,1389867,Mark Borgman,15,Loyal Customer
12922,1785567,Walter Jones,15,Loyal Customer
12295,1706247,Tracy King,15,Loyal Customer
12537,1735191,Martha Brathwaite,15,Loyal Customer
8388,1192665,Zachary Coleman,15,Loyal Customer
5181,710555,Ramiro Ferri,15,Loyal Customer
11302,1575457,Jaime Miller,15,Loyal Customer
1975,268820,Patrice Morillo,15,Loyal Customer
4395,590960,Stephan Bohm,15,Loyal Customer
14609,2011673,Alexander Kelynack,15,Loyal Customer
14186,1956520,Bertram Mikkelsen,15,Loyal Customer
13797,1909198,Anais Munguia,15,Loyal Customer
15116,2080735,Ricky Frazier,15,Loyal Customer
10854,1520094,Eric Coker,15,Loyal Customer
12050,1675644,Lloyd Morgan,15,Loyal Customer
8446,1201865,Barbara Thurman,15,Loyal Customer
3896,525739,Jessika Neudorf,15,Loyal Customer
7691,1089571,Scott Taylor,15,Loyal Customer
11831,1646403,Giovanni Pressley,15,Loyal Customer
1614,223761,Bruno William,15,Loyal Customer
13838,1914029,Sneana Delic,15,Loyal Customer
8594,1223111,James Alsup,15,Loyal Customer
14129,1950591,Iva Ivanec,15,Loyal Customer
9633,1358765,Kyra Marrero,15,Loyal Customer
13837,1913981,Ljuba Brajkovic,15,Loyal Customer
12748,1763642,Karen Smith,15,Loyal Customer
10957,1532522,Larry Carter,15,Loyal Customer
13863,1916463,Rebecca Whinham,15,Loyal Customer
5744,796631,Geremia Nucci,15,Loyal Customer
8066,1141652,Louise Kelly,15,Loyal Customer
15252,2098212,Zdenka Jirkovská,15,Loyal Customer
2032,276051,Antione Johnson,14,Loyal Customer
3711,501361,Dirk Biermann,14,Loyal Customer
6617,918778,Kieran Hale,14,Loyal Customer
11578,1610147,Elizabeth Gilliam,14,Loyal Customer
9022,1276810,Don Stewart,14,Loyal Customer
2889,389013,Carolyn Benn,14,Loyal Customer
10329,1449155,Mary Gilmour,14,Loyal Customer
5365,741037,Maia Lori,14,Loyal Customer
8367,1189747,Sam Giles,14,Loyal Customer
4069,546471,Antje Rothstein,14,Loyal Customer
14052,1939321,Helena Mikovská,14,Loyal Customer
1897,259842,Jonell Beauford,14,Loyal Customer
11748,1633967,Wayne Banks,14,Loyal Customer
5359,739625,Caterina Lettiere,14,Loyal Customer
2687,363712,Terry Maze,14,Loyal Customer
3393,454932,Christin Fuerst,14,Loyal Customer
11314,1577297,Dorothy Staley,14,Loyal Customer
13691,1892265,Jimmy Mathison,14,Loyal Customer
4183,563427,Tobias Faust,14,Loyal Customer
13972,1929631,Isabella Souza,14,Loyal Customer
3713,501476,Lukas Ritter,14,Loyal Customer
13363,1850415,William Jeffery,14,Loyal Customer
11242,1567343,Ilene Otto,14,Loyal Customer
15003,2064687,Rory Hills,14,Loyal Customer
7668,1086200,Jennifer Nixon,14,Loyal Customer
14481,1996029,Zbynek David,14,Loyal Customer
2904,390926,Grace Schweitzer,14,Loyal Customer
14198,1958373,Heather Taylor,14,Loyal Customer
12941,1789699,Mark Gorden,14,Loyal Customer
11537,1605337,Corey Edington,14,Loyal Customer
5387,744459,Virgilio Trentino,14,Loyal Customer
12558,1737466,Christina Miller,14,Loyal Customer
10362,1453427,Ralph Thompson,14,Loyal Customer
7600,1074065,Jordan Wyatt,14,Loyal Customer
9662,1363203,James Somers,14,Loyal Customer
12314,1708493,Dana Roberson,14,Loyal Customer
8931,1264805,Fletcher Carver,14,Loyal Customer
1896,259681,Jane Dildy,14,Loyal Customer
9528,1345382,Jose Law,14,Loyal Customer
13775,1906549,Milada Vargová,14,Loyal Customer
4062,545755,Barbara Freud,14,Loyal Customer
7884,1115222,Rebecca Bray,14,Loyal Customer
9099,1287862,Judith Parrish,14,Loyal Customer
10176,1427132,Victoria Hammond,14,Loyal Customer
14121,1949149,Susanna Berglund,14,Loyal Customer
8910,1262414,Jeffrey Ortiz,14,Loyal Customer
1740,241230,Della Calhoun,14,Loyal Customer
10161,1424915,Anne Romero,14,Loyal Customer
12588,1741351,Michael Holt,14,Loyal Customer
14120,1948852,Jan Vlk,14,Loyal Customer
11271,1571311,Joey Lapham,14,Loyal Customer
9127,1291414,Brooke Hanna,14,Loyal Customer
10481,1467706,Christine Fleming,14,Loyal Customer
3655,493252,Dennis Ackerman,14,Loyal Customer
10177,1427309,Deborah Hinds,14,Loyal Customer
7603,1074512,Emma Williams,14,Loyal Customer
3401,456306,Katrin Fink,14,Loyal Customer
13514,1868588,Shane Harry,14,Loyal Customer
11276,1571957,Jeffrey Ziegler,14,Loyal Customer
12199,1693753,Carolyn Mole,14,Loyal Customer
8714,1239387,Michael Odom,14,Loyal Customer
10809,1513428,Vincent Goodwin,14,Loyal Customer
9212,1302679,Genevieve Gibson,14,Loyal Customer
13446,1860085,Ruth Adams,14,Loyal Customer
12659,1751091,Marybeth Kelly,14,Loyal Customer
14739,2029619,Madeline Haller,14,Loyal Customer
3870,522564,Barbara Metzger,14,Loyal Customer
13742,1900738,Liam Dunningham,14,Loyal Customer
8554,1215660,Frances Bacher,14,Loyal Customer
11063,1542784,Vanessa Vazquez,14,Loyal Customer
6538,908105,Tilly Stevenson,14,Loyal Customer
8525,1212385,Aaron Mitchell,14,Loyal Customer
11711,1628727,Joanne Chew,14,Loyal Customer
8838,1253732,James Sullivan,14,Loyal Customer
14837,2042548,Fanchon Charette,14,Loyal Customer
9468,1337241,Christina Asaro,14,Loyal Customer
13062,1807423,Laura Heath,14,Loyal Customer
13704,1894588,Paula Dobson,14,Loyal Customer
12744,1763365,Patricia McCray,14,Loyal Customer
10672,1493539,Max Smith,14,Loyal Customer
11783,1638102,John Thompson,14,Loyal Customer
11694,1626990,Sandra Gaskin,14,Loyal Customer
14215,1959688,Emma Bruun,14,Loyal Customer
15072,2075340,Tom Moench,14,Loyal Customer
8229,1165391,Shannon Gordon,14,Loyal Customer
14811,2039658,Lillian Lewis,14,Loyal Customer
15068,2074986,Andreas Lyberth,14,Loyal Customer
7112,999198,Harriet Fry,14,Loyal Customer
13881,1918342,Ricky Scott,14,Loyal Customer
5204,715379,Tito Siciliano,14,Loyal Customer
14574,2006644,Mio Johnsson,14,Loyal Customer
322,48466,Matilda Shields,14,Loyal Customer
9252,1307023,Debbie Nishida,14,Loyal Customer
14314,1971983,Lucas Ackerman,14,Loyal Customer
9817,1382863,Angelina Adams,14,Loyal Customer
9444,1333943,Joel Loftus,14,Loyal Customer
14839,2043244,Gustaf Andersson,14,Loyal Customer
5231,718462,Teodata Mazzi,14,Loyal Customer
14292,1969722,Isabelle Guernon,14,Loyal Customer
12271,1702898,Dee Pickens,14,Loyal Customer
8508,1209835,Kevin Winkle,14,Loyal Customer
10096,1416995,Robert Felan,14,Loyal Customer
11482,1598675,Mary McKown,14,Loyal Customer
13622,1883981,Pearlie Rice,14,Loyal Customer
13702,1893783,William Hinton,14,Loyal Customer
7871,1113081,Evie White,14,Loyal Customer
8509,1210105,Mary McCollum,14,Loyal Customer
14788,2036099,Iveta afárová,14,Loyal Customer
12387,1717167,Jacqueline Thomas,14,Loyal Customer
13786,1908175,Pastora Pagan,14,Loyal Customer
14250,1964297,Eloise Sicard,14,Loyal Customer
7040,985427,Anthony Davis,14,Loyal Customer
6795,946719,John Faulkner,14,Loyal Customer
6792,945870,Max Glover,14,Loyal Customer
3523,474309,Stefanie Becker,14,Loyal Customer
9867,1389079,Dessie Houston,13,Loyal Customer
7983,1130382,Kyle Gallagher,13,Loyal Customer
9925,1397271,Yesenia Chivers,13,Loyal Customer
14671,2021107,Jim Jonasson,13,Loyal Customer
6824,950191,Lauren Newman,13,Loyal Customer
9394,1325805,Mona Zamora,13,Loyal Customer
9798,1380698,Agnes Bronson,13,Loyal Customer
4851,658900,Charlotte Labonté,13,Loyal Customer
1750,242542,Colleen Moore,13,Loyal Customer
13244,1832086,Mary Woods,13,Loyal Customer
14188,1956840,Fran Vidovic,13,Loyal Customer
9864,1388801,Frederic Burnett,13,Loyal Customer
11883,1653624,Richard Turner,13,Loyal Customer
7913,1119822,Sarah Robson,13,Loyal Customer
5581,773896,Calimero Longo,13,Loyal Customer
9949,1400564,Valerie Turcotte,13,Loyal Customer
14019,1934862,Tauno Mönkkönen,13,Loyal Customer
9593,1353843,Silvia Ross,13,Loyal Customer
14799,2037906,Henri Marcoux,13,Loyal Customer
1327,186894,Stella Brookfield,13,Loyal Customer
9066,1282801,Cassandra Garzon,13,Loyal Customer
9341,1318393,Donna Matthews,13,Loyal Customer
3316,444719,Kristian Himmel,13,Loyal Customer
3544,476275,Ralf Holtzmann,13,Loyal Customer
12928,1785982,Kera Shilling,13,Loyal Customer
9622,1357408,Glenn Anderson,13,Loyal Customer
6806,948305,Elise Stephens,13,Loyal Customer
14616,2012457,Daff Veliz,13,Loyal Customer
7984,1130442,William Gardiner,13,Loyal Customer
11566,1609149,Minnie Shultz,13,Loyal Customer
9883,1390363,Leonard Krueger,13,Loyal Customer
